Title,Company,Location,Years_of_experience,Salary,Seniority_level,English_level,Technologies,Date_Posted,Source
LLM Engineer/Python Developer,Verenia,Ukraine,,,Full-time,Advanced,[],,linkedin.com
Back-End Engineer (Python),Preply,Kyiv,,,Mid-Senior,Upper-intermediate,["Django"; "RDS"; "Hypothesis"; "React"; "Make"],,linkedin.com
Python Developer/Part-time Mentor,Mate academy,Kyiv,,,Entry,,[],,linkedin.com
Trainee Data Engineer (with strong Python skills),N-iX,Lviv,,,Internship,,["OOP"; "AWS"; "Hadoop"; "Spark"],,linkedin.com
Python Developer,Cerebital,Ukraine,,,Mid-Senior,,["Django"; "FastAPI"; "PostgreSQL"; "MySQL"; "Redis"; "AWS"; "Google Cloud Platform"; "Docker"; "Kubernetes"; "Git"; "REST"; "Celery"],,linkedin.com
Python Engineer,Intetics,Kyiv,,,Mid-Senior,,["ArcGIS"; "PostgreSQL"; "PostGIS"; "AWS"; "Docker"; "Kubernetes"; "REST"; "GraphQL"],,linkedin.com
Software Engineer (React+Python),Intetics,Ukraine,,,Mid-Senior,,[],,linkedin.com
Backend Python Developer (Remote; Contract),INFUSE,Dnipro,5,,Mid-Senior,,["Django"; "Flask"; "PostgreSQL"; "MongoDB"; "Redis"; "AWS"; "RDS"; "Kubernetes"; "Kafka"; "JavaScript"; "React"; "HTML"; "CSS"; "Make"],,linkedin.com
Backend Python Developer (Remote; Contract),INFUSE,Odesa,5,,Mid-Senior,,["Django"; "Flask"; "PostgreSQL"; "MongoDB"; "Redis"; "AWS"; "RDS"; "Kubernetes"; "Kafka"; "JavaScript"; "React"; "HTML"; "CSS"; "Make"],,linkedin.com
Python developer,Cruxlab; Inc.,Kharkiv,,,Entry,Intermediate,["Django"; "Flask"; "PostgreSQL"; "MySQL"; "OOP"; "AWS"; "EC2"; "RDS"; "Docker"; "REST"; "WebSockets"; "Unittest"; "Chef"; "HTML"; "CSS"],,linkedin.com
Junior Full-stack JS Developer,Mate academy,Kyiv,,,,,[],,linkedin.com
Senior Python Developer,Intellectsoft,Ukraine,,,Mid-Senior,,["Django"; "Flask"; "FastAPI"; "OOP"; "RDS"; "Google Cloud Platform"; "Docker"; "Kubernetes"; "Nose"; "TypeScript"; "React"],,linkedin.com
Junior Backend Engineer (Node.js),Universe Group,Ukraine,,,Entry,,["PostgreSQL"; "MySQL"; "AWS"; "Docker"; "Kubernetes"; "REST"; "TypeScript"],,linkedin.com
Middle Python developer (Remote),Risk,Poltava,,,Entry,Upper-intermediate,["Django"; "Tornado"; "PostgreSQL"; "MongoDB"; "Redis"; "OOP"; "REST"; "asyncio"],,linkedin.com
Python developer (with algorithmic background) IRC224147,GlobalLogic Poland,Ukraine,,,Mid-Senior,,["RDS"; "Git"],,linkedin.com
Backend Engineer (Python),Bringg,Kyiv,3,,Mid-Senior,,["Heroku"; "REST"; "SOAP"; "Vue.js"; "Make"],,linkedin.com
Senior Python Developer,FYST,Kyiv,,,Mid-Senior,,["Django"; "FastAPI"; "asyncio"; "aiohttp"; "Kafka"; "Make"],,linkedin.com
Senior Python Developer,Starkflow,Ukraine,,,Mid-Senior,Advanced,["Django"; "Flask"; "FastAPI"; "PostgreSQL"; "Redis"; "AWS"; "Git"; "REST"; "Pandas"; "NumPy"; "Requests"; "OAuth"; "JWT"],,linkedin.com
